cidade,datetime,temp_c,umidade_pct,precipitacao_mm,vento_kmh
manaus,2025-01-01 00:00:00,26.7,90.0,0.0,6.4
manaus,2025-01-01 01:00:00,26.6,91.0,0.0,5.6
manaus,2025-01-01 02:00:00,26.6,92.0,0.0,6.5
manaus,2025-01-01 03:00:00,26.5,93.0,0.0,6.1
manaus,2025-01-01 04:00:00,25.7,94.0,0.0,2.5
manaus,2025-01-01 05:00:00,25.5,93.0,0.0,2.2
manaus,2025-01-01 06:00:00,26.0,95.0,0.0,4.8
manaus,2025-01-01 07:00:00,25.7,93.0,0.2,2.8
manaus,2025-01-01 08:00:00,26.5,86.0,0.4,5.1
manaus,2025-01-01 09:00:00,25.5,89.0,1.6,11.3
manaus,2025-01-01 10:00:00,28.0,81.0,0.2,5.2
manaus,2025-01-01 11:00:00,28.4,80.0,0.1,4.6
manaus,2025-01-01 12:00:00,29.3,74.0,0.2,7.9
manaus,2025-01-01 13:00:00,29.6,71.0,0.1,9.4
manaus,2025-01-01 14:00:00,29.3,71.0,0.5,9.0
manaus,2025-01-01 15:00:00,28.9,74.0,0.1,4.8
manaus,2025-01-01 16:00:00,29.8,72.0,0.2,4.1
manaus,2025-01-01 17:00:00,29.1,71.0,1.7,7.7
manaus,2025-01-01 18:00:00,28.6,75.0,0.1,6.0
manaus,2025-01-01 19:00:00,28.0,81.0,0.0,6.3
manaus,2025-01-01 20:00:00,27.5,88.0,0.0,5.4
manaus,2025-01-01 21:00:00,27.3,90.0,0.0,4.5
manaus,2025-01-01 22:00:00,26.5,88.0,2.9,1.6
manaus,2025-01-01 23:00:00,25.8,87.0,2.7,5.9
manaus,2025-01-02 00:00:00,25.4,89.0,0.0,2.4
manaus,2025-01-02 01:00:00,25.4,90.0,0.1,6.1
manaus,2025-01-02 02:00:00,25.1,90.0,0.1,2.1
manaus,2025-01-02 03:00:00,24.9,89.5,0.1,4.4
manaus,2025-01-02 04:00:00,24.7,89.0,0.0,2.6
manaus,2025-01-02 05:00:00,25.1,88.0,0.0,4.9
manaus,2025-01-02 06:00:00,25.0,90.0,0.0,3.9
manaus,2025-01-02 07:00:00,25.3,91.0,0.0,7.0
manaus,2025-01-02 08:00:00,25.3,87.0,0.2,9.8
manaus,2025-01-02 09:00:00,25.3,90.0,1.7,9.0
manaus,2025-01-02 10:00:00,25.5,85.0,1.7,11.0
manaus,2025-01-02 11:00:00,24.8,88.0,1.8,10.1
manaus,2025-01-02 12:00:00,25.0,94.0,0.9,9.9
manaus,2025-01-02 13:00:00,25.8,88.0,0.4,10.1
manaus,2025-01-02 14:00:00,26.5,82.0,0.1,8.1
manaus,2025-01-02 15:00:00,27.1,79.0,0.1,7.7
manaus,2025-01-02 16:00:00,27.4,79.0,0.1,6.2
manaus,2025-01-02 17:00:00,27.8,76.0,0.0,5.0
manaus,2025-01-02 18:00:00,27.6,77.0,0.0,5.3
manaus,2025-01-02 19:00:00,27.1,81.0,0.0,4.4
manaus,2025-01-02 20:00:00,26.9,82.0,0.0,3.1
manaus,2025-01-02 21:00:00,26.7,84.0,0.0,2.6
manaus,2025-01-02 22:00:00,26.1,90.0,0.0,5.5
manaus,2025-01-02 23:00:00,26.0,88.0,0.0,4.8
manaus,2025-01-03 00:00:00,26.0,88.0,0.0,3.9
manaus,2025-01-03 01:00:00,25.9,88.0,0.0,3.6
manaus,2025-01-03 02:00:00,25.6,89.0,0.0,2.4
manaus,2025-01-03 03:00:00,25.5,90.0,0.0,3.6
manaus,2025-01-03 04:00:00,25.5,90.0,0.0,3.0
manaus,2025-01-03 05:00:00,25.4,90.0,0.0,2.5
manaus,2025-01-03 06:00:00,25.4,90.0,0.0,2.8
manaus,2025-01-03 07:00:00,24.9,92.0,0.0,3.2
manaus,2025-01-03 08:00:00,25.7,90.0,0.0,5.7
manaus,2025-01-03 09:00:00,26.6,86.0,0.0,5.0
manaus,2025-01-03 10:00:00,27.9,78.0,0.0,5.3
manaus,2025-01-03 11:00:00,28.6,74.0,0.1,7.6
manaus,2025-01-03 12:00:00,29.3,72.0,0.1,8.0
manaus,2025-01-03 13:00:00,29.4,70.0,0.1,10.4
manaus,2025-01-03 14:00:00,30.0,67.0,0.0,8.1
manaus,2025-01-03 15:00:00,29.8,69.0,0.1,8.6
manaus,2025-01-03 16:00:00,30.2,69.0,0.0,6.3
manaus,2025-01-03 17:00:00,29.8,68.0,0.6,7.6
manaus,2025-01-03 18:00:00,29.6,70.0,0.0,5.5
manaus,2025-01-03 19:00:00,29.2,74.0,0.0,3.2
manaus,2025-01-03 20:00:00,28.4,81.0,0.0,3.5
manaus,2025-01-03 21:00:00,27.9,86.0,0.0,4.0
manaus,2025-01-03 22:00:00,28.1,81.0,0.0,2.8
manaus,2025-01-03 23:00:00,27.4,90.0,0.0,1.9
manaus,2025-01-04 00:00:00,26.5,91.0,0.1,6.7
manaus,2025-01-04 01:00:00,26.3,93.0,0.0,1.0
